study_hours,screen_time,stress_level,physical_activity,number_of_courses,burnout_risk
7.9,0.9,6,11.3,7,low
1.4,9.2,6,12.7,3,low
1.7,4.8,6,8.0,7,low
8.8,1.9,5,5.0,3,low
3.4,1.2,9,7.5,7,low
6.6,2.7,9,4.6,3,medium
1.2,1.1,4,13.6,4,low
1.1,0.9,8,2.8,4,low
0.9,9.0,5,1.9,3,low
5.0,1.4,5,5.5,6,low
6.6,4.3,8,0.8,6,medium
6.8,4.9,5,6.9,3,low
0.9,6.9,1,10.6,2,low
0.7,6.8,8,8.0,2,low
6.4,2.2,5,1.4,6,medium
5.2,1.2,6,11.8,8,low
5.9,7.8,10,2.9,7,medium
6.5,2.7,5,6.8,1,low
6.0,4.0,1,7.8,6,low
6.6,1.8,8,11.1,7,low
8.9,1.5,1,4.4,8,low
5.5,3.7,2,4.8,8,low
9.0,2.8,10,13.4,3,low
9.0,8.6,8,1.5,7,medium
6.2,0.9,4,11.8,2,low
9.8,5.5,4,2.5,1,low
2.5,4.3,2,7.0,2,low
6.5,7.5,9,4.3,7,medium
5.5,4.2,2,8.5,6,low
2.3,9.4,7,13.2,8,low
7.9,3.9,9,3.8,5,medium
2.8,8.8,9,12.4,7,medium
7.2,8.9,4,10.8,7,low
9.3,4.4,5,8.3,2,low
6.7,3.5,10,6.8,2,low
0.2,0.8,8,11.0,7,low
6.8,4.5,7,11.6,8,low
6.0,6.2,1,2.3,8,low
7.0,6.3,1,4.3,5,low
5.9,3.0,6,11.4,4,low
0.8,5.0,8,4.2,1,low
0.7,3.7,7,5.3,8,low
9.0,9.0,8,8.6,6,medium
3.4,3.7,4,11.8,2,low
4.7,6.0,4,13.7,1,low
3.5,1.7,9,3.9,5,medium
9.5,6.1,3,3.5,5,medium
7.9,9.5,7,0.6,8,medium
7.2,4.1,4,12.3,4,low
4.1,7.2,4,1.3,3,low
7.4,3.8,7,3.0,8,medium
1.0,2.6,2,7.9,1,low
4.5,2.8,8,12.3,3,low
6.7,4.0,8,5.0,6,medium
1.1,0.9,2,11.6,6,low
9.6,9.1,9,3.0,2,medium
5.9,6.2,4,6.2,4,low
0.9,8.5,1,9.4,5,low
7.9,4.4,9,10.9,4,low
2.7,0.9,6,8.3,2,low
2.1,2.4,2,11.2,5,low
3.8,4.3,9,6.5,5,medium
1.3,9.0,2,6.1,8,low
8.5,5.1,4,5.6,3,low
2.9,7.6,8,5.7,6,medium
1.8,7.6,3,10.8,2,low
7.7,7.5,10,3.2,4,medium
8.4,5.7,1,10.9,7,low
5.7,8.4,9,6.0,2,medium
0.7,1.0,6,12.4,5,low
0.6,9.3,9,9.7,4,low
6.1,3.5,8,6.1,3,low
7.4,7.0,9,3.8,8,medium
0.6,8.6,4,9.3,7,low
2.9,6.5,7,8.8,5,low
1.8,0.7,2,1.0,1,low
7.3,9.7,6,0.2,6,medium
5.5,6.4,4,7.5,3,low
9.7,5.0,6,8.1,3,low
8.9,0.6,1,6.2,8,low
4.0,3.2,3,1.3,7,low
3.9,2.6,1,8.8,3,low
1.9,2.6,1,9.7,6,low
6.8,1.4,3,4.2,1,low
3.9,6.5,2,13.3,3,low
6.7,7.8,10,13.7,4,medium
8.4,5.8,6,11.2,7,low
1.1,4.8,10,4.8,7,medium
1.5,4.7,10,0.8,1,low
6.4,8.6,8,5.6,1,medium
8.8,0.1,9,4.8,2,low
1.0,7.8,10,8.0,8,medium
2.9,5.6,9,5.7,8,medium
1.5,9.2,2,1.2,4,low
8.2,8.3,6,12.7,6,low
7.4,6.9,10,4.9,1,medium
5.2,3.3,9,7.3,4,low
8.4,2.1,5,1.1,4,low
8.6,0.3,4,10.7,2,low
2.3,1.6,8,6.2,3,low
0.4,0.3,9,5.2,5,low
6.8,2.8,7,6.6,6,low
2.9,9.2,4,0.1,4,low
8.8,5.1,7,13.9,3,low
9.1,4.7,1,0.8,7,medium
7.9,9.9,7,9.2,2,low
9.4,6.1,1,3.3,4,low
5.2,1.1,1,1.1,2,low
6.7,8.6,3,12.6,2,low
0.2,6.8,3,11.2,6,low
7.3,9.2,8,0.5,4,medium
8.2,1.4,6,9.8,5,low
8.9,0.8,1,8.1,7,low
6.4,1.2,4,12.7,7,low
1.7,0.3,1,2.1,8,low
7.5,3.7,9,9.5,6,medium
0.1,0.6,2,0.4,7,low
5.9,0.7,5,7.0,8,low
4.5,3.7,10,4.8,5,medium
7.1,5.5,2,3.9,2,low
7.8,3.2,2,8.9,1,low
1.3,8.8,8,1.3,5,medium
6.1,5.1,4,10.2,2,low
7.6,6.1,5,11.1,1,low
8.9,9.4,1,5.7,8,medium
2.7,3.8,10,4.9,3,low
5.6,7.4,4,2.4,1,low
6.4,8.6,5,6.4,1,low
7.0,1.4,6,4.8,2,low
5.1,9.9,7,2.7,5,medium
8.2,3.5,4,11.2,7,low
9.4,3.5,2,9.6,1,low
7.4,7.0,6,10.1,7,medium
9.6,5.1,2,6.0,3,low
2.1,6.2,9,7.6,2,low
6.4,1.8,6,0.8,2,low
8.8,0.9,2,8.0,1,low
1.9,9.3,7,12.1,8,low
3.7,1.2,2,6.3,8,low
3.3,0.9,7,1.1,2,low
9.0,7.6,3,6.9,2,low
3.7,9.0,2,3.5,4,low
8.3,6.3,3,5.7,6,low
7.1,0.6,6,8.9,3,low
2.5,0.8,9,4.9,1,low
7.7,9.8,3,4.1,5,medium
0.2,0.6,2,4.7,1,low
7.0,4.6,10,2.5,6,medium
3.6,2.4,8,7.7,5,low
3.0,0.3,1,7.7,3,low
5.9,6.2,3,10.0,5,low
7.6,9.1,10,5.4,3,medium
8.7,6.4,3,4.4,2,low
4.2,4.3,6,1.5,6,medium
4.8,0.5,9,2.4,2,low
4.0,3.9,1,6.9,8,low
8.9,7.8,3,2.7,2,low
4.3,4.2,4,1.4,2,low
9.7,9.7,2,7.6,1,low
1.8,1.7,7,2.6,5,low
6.1,9.1,3,12.3,4,low
4.3,7.9,8,9.3,5,low
2.0,5.2,4,1.8,7,low
7.8,9.7,2,7.9,2,low
7.0,9.8,1,7.4,4,low
8.8,3.8,7,2.3,2,medium
0.2,8.4,8,5.3,3,low
7.3,7.7,10,3.6,6,medium
0.2,8.5,6,0.4,1,low
1.3,2.6,9,5.9,7,low
4.8,9.9,1,11.8,5,low
0.2,0.9,2,0.8,7,low
6.0,6.3,3,7.5,1,low
0.5,7.4,5,0.8,5,low
1.0,7.1,6,7.4,7,low
6.1,4.7,4,5.0,5,low
1.7,2.3,4,12.5,6,low
9.4,8.2,3,2.6,7,medium
3.0,8.3,1,0.6,7,low
4.3,0.9,10,8.5,1,low
8.6,7.2,9,3.1,6,medium
3.6,3.2,6,4.2,8,medium
0.1,0.1,6,0.5,5,low
4.8,3.0,7,9.2,1,low
2.7,3.5,7,4.4,2,low
2.9,4.2,10,6.7,7,medium
4.2,0.5,6,7.9,2,low
9.3,0.9,10,13.1,8,medium
2.3,7.4,3,1.0,3,low
0.0,8.6,8,8.2,2,low
3.2,9.5,5,4.0,6,medium
1.2,7.9,5,5.7,5,low
5.9,0.4,10,11.5,8,medium
0.7,5.5,5,5.6,1,low
5.1,7.4,9,10.3,3,low
1.1,4.5,8,7.8,3,low
9.3,4.1,8,4.6,4,medium
4.7,9.0,8,6.8,6,medium
4.4,6.8,2,13.6,8,low
2.3,0.4,3,13.2,6,low
9.0,7.8,7,1.5,2,medium
3.6,5.5,1,2.3,5,low
1.8,8.3,7,1.3,8,medium
6.9,4.4,3,12.1,8,low
4.9,9.8,4,12.8,8,low
2.2,6.7,4,8.8,2,low
5.9,0.0,8,0.3,5,medium
2.2,1.6,7,3.9,8,low
7.3,5.1,2,4.3,7,low
4.4,7.6,6,0.7,6,medium
1.2,2.9,1,9.2,2,low
2.5,5.4,7,10.0,2,low
9.4,5.3,2,9.6,1,low
7.6,3.0,7,11.8,2,low
0.5,6.2,3,3.7,8,low
4.8,1.9,10,5.8,3,low
4.8,5.1,9,6.2,5,medium
7.1,3.0,5,5.3,3,low
4.1,8.9,6,4.1,6,medium
9.1,0.2,3,12.4,8,low
7.0,0.4,10,11.3,6,low
2.1,7.2,10,12.7,1,low
8.8,7.0,6,0.3,5,medium
7.9,1.8,2,13.7,2,low
6.6,7.2,6,6.4,1,low
4.7,3.5,8,11.9,5,low
8.4,8.3,6,12.7,2,low
3.5,5.9,10,2.4,6,medium
1.5,1.9,1,9.5,8,low
3.4,7.2,8,12.7,5,low
6.7,7.0,4,2.2,4,low
6.4,7.9,4,9.6,7,low
8.6,2.6,1,9.5,8,low
0.4,4.7,9,4.0,5,low
6.2,1.3,6,9.7,1,low
3.4,3.4,9,10.7,6,low
1.4,7.4,6,3.2,8,medium
7.1,7.7,2,9.6,8,low
3.8,6.1,5,11.4,3,low
2.3,9.4,2,5.2,7,low
1.9,2.5,5,5.4,3,low
0.7,9.4,1,13.7,7,low
8.7,2.6,9,11.8,4,low
6.6,4.2,2,0.4,3,low
9.9,8.4,6,0.3,7,medium
6.5,7.9,8,10.4,5,medium
5.4,7.1,3,1.9,7,medium
1.8,4.8,10,11.1,1,low
1.5,9.0,6,9.8,7,low
6.4,1.9,3,1.9,3,low
0.6,1.2,10,9.4,6,low
4.2,8.8,2,6.8,8,low
5.6,9.9,10,13.1,4,medium
4.7,6.4,10,0.0,2,medium
0.8,0.9,6,2.6,8,low
4.1,9.6,7,0.9,7,medium
9.0,8.1,9,10.7,6,medium
3.1,1.0,7,8.8,7,low
7.6,1.3,10,7.4,2,low
6.2,1.0,1,0.5,5,low
8.0,1.6,4,13.0,7,low
2.8,4.1,4,8.3,3,low
4.3,4.1,10,12.4,4,low
4.4,5.4,6,11.7,5,low
6.2,8.1,2,4.4,3,low
1.4,7.6,3,9.5,5,low
5.6,6.4,5,2.7,7,medium
2.9,0.6,4,2.0,3,low
3.6,8.4,10,13.4,4,low
2.7,8.0,10,5.6,4,medium
8.4,8.6,6,1.1,6,medium
2.2,5.5,9,4.9,5,medium
0.3,4.8,1,7.3,2,low
8.8,1.4,10,1.4,7,medium
8.9,6.0,7,5.8,1,low
9.5,4.1,1,8.4,2,low
6.3,3.4,5,11.1,6,low
4.7,5.0,1,3.5,2,low
4.3,9.1,9,0.2,2,medium
0.5,2.0,5,7.5,2,low
1.7,1.2,7,10.8,4,low
6.1,3.3,8,3.5,2,low
3.7,0.7,9,5.8,6,low
1.4,2.2,8,2.4,6,low
3.2,8.5,9,10.7,7,medium
6.6,9.8,5,2.5,4,medium
9.4,9.7,7,4.7,6,medium
3.3,5.9,1,2.2,4,low
0.2,7.1,6,2.6,7,low
5.0,6.0,7,9.0,5,low
7.2,6.2,4,13.5,7,low
4.0,4.0,2,11.5,4,low
1.6,7.5,4,11.0,3,low
4.3,4.7,4,0.4,2,low
9.3,2.4,8,7.9,2,low
4.6,2.8,6,2.9,7,medium
0.6,1.8,2,10.1,3,low
9.2,2.9,4,5.2,1,low
8.9,4.5,6,9.3,7,medium
1.5,2.8,5,12.7,2,low
7.2,3.4,10,12.7,8,medium
4.6,1.3,2,1.6,7,low
4.3,4.9,3,12.3,4,low
4.2,2.5,6,4.7,3,low
1.0,2.8,5,8.8,6,low
5.1,3.3,4,11.3,5,low
2.6,0.7,10,8.4,5,low
2.1,7.9,8,12.4,1,low
6.6,5.1,5,6.1,2,low
3.8,0.9,8,11.2,2,low
3.8,0.8,4,11.7,2,low
1.8,7.5,9,0.2,5,medium
3.6,2.0,6,9.5,1,low
9.6,9.7,4,5.5,3,medium
4.1,7.9,6,13.7,8,low
0.4,8.6,4,10.8,3,low
6.2,6.6,8,11.8,4,low
5.0,5.6,2,1.9,7,low
5.0,3.3,7,6.1,1,low
4.0,5.1,2,4.6,3,low
1.4,2.2,7,9.3,6,low
6.9,7.5,5,13.5,1,low
6.4,4.5,9,4.8,4,medium
3.1,0.6,2,0.2,3,low
0.9,7.7,10,12.7,3,low
1.5,5.5,9,4.2,5,medium
4.2,8.5,9,10.2,5,medium
8.0,5.0,3,2.4,8,medium
8.7,7.5,2,9.1,7,low
7.2,2.5,2,13.4,5,low
3.2,3.1,1,11.8,1,low
0.9,1.0,4,7.1,3,low
7.2,1.5,8,4.0,4,medium
7.7,9.1,2,3.3,6,medium
0.2,5.1,1,8.8,3,low
6.5,3.0,3,13.0,2,low
1.4,9.6,5,12.3,8,low
2.7,2.4,8,8.6,3,low
8.8,1.0,8,2.8,6,medium
5.9,1.7,5,1.6,1,low
7.0,6.5,6,8.2,1,low
0.5,8.7,10,12.8,3,low
2.5,9.1,5,13.2,3,low
9.6,2.6,3,4.8,7,low
4.1,0.6,8,2.2,5,low
6.9,6.0,8,8.9,3,low
3.2,7.7,4,4.2,6,low
9.1,4.3,5,5.1,1,low
7.5,7.2,10,11.3,2,medium
6.8,0.5,5,6.6,2,low
2.0,7.2,7,9.2,3,low
4.0,2.5,4,2.5,6,low
1.3,3.9,5,10.9,6,low
0.3,9.1,10,12.2,2,low
2.6,7.8,1,3.9,4,low
1.9,1.9,4,7.9,2,low
3.7,1.6,8,7.5,8,low
4.7,2.3,8,9.7,6,low
0.6,0.0,1,12.4,4,low
3.1,4.2,7,13.1,5,low
2.7,0.0,10,9.3,5,low
0.6,5.9,4,7.2,4,low
9.1,3.3,7,8.8,1,low
9.1,4.2,8,1.2,4,medium
1.2,2.4,8,10.0,3,low
8.2,7.8,7,7.1,8,medium
3.2,7.6,1,12.0,1,low
4.6,9.5,8,0.9,2,medium
3.6,1.1,7,1.0,3,low
4.0,7.0,2,9.0,2,low
2.8,0.0,1,2.4,1,low
5.4,4.1,1,9.4,7,low
9.8,3.8,7,7.4,6,medium
2.5,7.8,6,9.3,3,low
7.4,9.7,1,6.9,4,low
9.9,2.4,6,3.6,6,medium
6.0,4.4,6,11.0,6,low
5.8,4.9,9,0.4,6,medium
9.9,0.0,6,9.1,6,low
7.6,4.4,7,8.9,6,low
6.4,6.0,6,11.0,6,low
7.9,9.6,5,13.4,6,low
5.6,2.8,10,3.4,6,low
6.7,1.8,9,13.0,6,low
2.2,8.3,7,13.6,6,low
5.1,2.9,5,6.4,6,low
1.4,6.7,2,3.0,6,low
1.9,8.4,9,0.7,6,medium
0.4,4.1,8,4.8,6,low
1.6,9.9,3,7.2,6,low
8.1,4.6,3,1.5,6,low
9.6,1.4,6,8.7,6,low
4.2,1.2,9,11.3,6,low
8.6,5.6,3,4.2,6,low
8.9,6.8,8,13.5,6,low
9.4,9.8,7,6.0,6,high
1.2,4.9,2,1.1,6,low
6.9,8.7,5,11.8,6,low
4.7,9.6,9,4.6,6,medium
9.4,6.7,6,5.5,6,low
6.0,4.2,10,10.4,6,low
6.8,1.3,8,0.6,6,low
4.0,9.5,9,6.1,6,low
0.4,1.1,3,4.7,6,low
1.1,6.5,8,8.2,6,low
7.1,8.0,1,12.1,6,low
7.1,6.2,10,5.8,6,medium
8.4,8.1,1,6.6,6,low
4.4,3.4,5,3.8,6,low
4.7,9.4,10,5.8,6,medium
2.9,7.1,1,9.0,6,low
0.2,0.1,6,0.2,6,low
4.4,3.8,5,12.5,6,low
4.5,3.3,5,6.5,6,low
9.5,5.1,1,11.2,6,low
2.7,1.7,8,9.2,6,low
2.1,0.1,6,6.7,6,low
7.8,3.0,3,2.3,6,low
7.1,3.3,10,0.0,6,medium
5.4,8.2,5,6.8,6,low
6.8,5.5,9,2.2,6,low
8.6,8.1,7,3.9,6,medium
3.8,4.1,6,13.6,6,low
2.8,1.4,10,11.2,6,low
0.1,0.1,10,11.1,6,low
5.5,2.0,2,12.3,6,low
5.1,0.1,6,2.8,6,low
0.9,6.9,9,10.9,6,low
3.7,2.6,6,2.7,6,low
5.9,5.0,2,10.2,6,low
5.3,8.3,10,10.9,6,low
8.6,0.5,6,0.9,6,low
8.2,3.6,2,0.5,6,low
7.6,3.1,3,11.4,6,low
0.6,6.7,2,4.3,6,low
2.8,7.8,2,1.0,6,low
1.4,4.5,10,7.7,6,low
7.5,8.3,9,5.6,6,medium
4.1,2.0,8,2.6,6,low
8.4,0.9,1,6.6,6,low
8.1,9.8,5,10.3,6,low
3.9,5.8,8,11.7,6,low
1.3,0.7,10,2.4,6,low
7.0,7.3,10,8.8,6,medium
6.2,2.1,1,11.9,6,low
8.9,0.7,8,5.9,6,low
5.2,4.7,8,1.5,6,low
3.9,1.8,5,9.9,6,low
1.1,0.7,1,9.1,6,low
2.5,5.6,10,8.2,6,low
8.2,0.5,9,3.5,6,low
5.0,3.1,7,6.8,6,low
2.4,4.5,9,10.7,6,low
8.2,9.7,3,11.1,6,low
5.0,0.7,8,1.7,6,low
9.2,8.5,7,6.2,6,medium
2.9,6.3,5,5.1,6,low
6.9,6.6,9,4.9,6,medium
5.7,3.6,1,0.7,6,low
5.4,5.4,7,10.1,6,low
3.7,4.0,8,0.3,6,low
7.2,1.1,9,12.1,6,low
9.1,9.9,8,3.4,6,medium
0.9,9.0,8,1.2,6,low
5.0,1.2,6,11.5,6,low
0.1,6.5,3,1.2,6,low
3.7,7.5,4,5.0,6,low
5.6,7.6,2,13.5,6,low
2.6,3.5,6,1.7,6,low
3.9,9.1,1,3.9,6,low
8.1,2.1,4,1.6,6,low
3.1,2.5,4,4.5,6,low
3.1,7.2,3,1.5,6,low
7.6,5.4,5,0.3,6,medium
4.6,4.9,7,5.2,6,low
2.3,7.6,3,2.4,6,low
5.9,0.6,6,5.8,6,low
0.1,7.7,8,12.3,6,low
5.3,7.7,8,3.2,6,medium
3.7,2.5,7,12.4,6,low
8.7,5.5,3,8.1,6,low
0.1,8.1,3,7.9,6,low
9.4,0.3,9,2.0,6,low
9.1,2.8,8,12.8,6,low
5.9,0.9,4,6.3,6,low
4.9,4.5,2,1.1,6,low
9.7,6.8,5,9.0,6,low
3.9,7.3,8,12.6,6,low
9.1,4.0,7,4.3,6,low
7.1,7.4,3,0.4,6,low
7.5,6.8,7,9.0,6,low
4.6,7.9,10,12.6,6,low
9.4,7.5,10,6.2,6,medium
4.9,6.3,3,0.7,6,low
9.3,2.5,10,13.4,6,low
7.8,1.9,7,12.5,6,low
4.7,0.1,2,12.5,6,low
0.4,6.9,8,3.9,6,low
3.6,1.7,5,7.4,6,low
1.8,0.1,9,3.4,6,low
2.4,3.6,8,13.4,6,low
4.3,0.4,3,11.1,6,low
2.0,4.5,4,2.7,6,low
6.1,3.0,2,2.7,6,low
0.4,8.6,7,5.0,6,low
9.2,8.7,1,5.2,6,low
6.1,7.9,8,13.8,6,low
2.7,7.3,7,10.4,6,low
0.5,6.8,4,4.8,6,low
2.5,7.3,5,12.0,6,low
7.8,5.1,2,2.0,6,low
1.3,5.9,3,9.3,6,low
1.8,6.0,9,7.3,6,low
6.5,6.7,10,2.6,6,medium
8.5,2.6,10,13.7,6,low
7.9,8.2,3,12.8,6,low
5.5,6.7,2,13.4,6,low
5.8,4.5,8,4.5,6,medium
6.7,0.8,5,6.4,6,low
0.4,1.3,10,11.1,6,low
0.9,2.2,6,1.7,6,low
9.6,0.8,8,6.5,6,low
8.6,7.7,10,6.9,6,medium
5.7,1.3,7,8.2,6,low
1.4,4.6,3,12.5,6,low
9.2,6.3,2,13.7,6,low

